TIME,TYPE,MESSAGE
LOG FILE INTIALIZED
14:40:32,INIT,ffmpeg version 2023-10-18-git-e7a6bba51a-full_build-www.gyan.dev Copyright (c) 2000-2023 the FFmpeg developers
14:40:32,INIT,ffprobe version 2023-10-18-git-e7a6bba51a-full_build-www.gyan.dev Copyright (c) 2007-2023 the FFmpeg developers
14:40:32,INIT,HAP-PY v0.0.1 started
14:44:05,FILE,Adding C:/Users/TedCh/OneDrive/Desktop/test/sub\TCBLogo_White - Copy.png to the file tree
14:44:05,FILE,Adding C:/Users/TedCh/OneDrive/Desktop/test/sub\TCBLogo_White.png to the file tree
14:44:05,FILE,Adding C:/Users/TedCh/OneDrive/Desktop/test/sub\TCBLogo_White_HAP.mov to the file tree
14:44:38,INIT,HAP-PY v0.0.1 started
14:44:40,FILE,Populating C:/Users/TedCh/OneDrive/Desktop/test/sub\TCBLogo_White - Copy.png to the file tree
14:44:40,FILE,Populating C:/Users/TedCh/OneDrive/Desktop/test/sub\TCBLogo_White.png to the file tree
14:44:40,FILE,Populating C:/Users/TedCh/OneDrive/Desktop/test/sub\TCBLogo_White_HAP.mov to the file tree
14:44:53,FILE,Populating C:/Users/TedCh/OneDrive/Desktop/test/samples\100kPeople_422.mov to the file tree
14:44:53,FILE,Populating C:/Users/TedCh/OneDrive/Desktop/test/samples\100kPeople_NotchLC.mov to the file tree
14:45:18,FILE,Removing TCBLogo_White - Copy.png from the file tree
14:45:18,FILE,Removing TCBLogo_White.png from the file tree
14:45:18,FILE,Removing TCBLogo_White_HAP.mov from the file tree
14:45:18,FILE,Removing 100kPeople_422.mov from the file tree
14:45:18,FILE,Removing 100kPeople_NotchLC.mov from the file tree
14:47:44,INIT,HAP-PY v0.0.1 started
14:47:47,FILE,Displaying C:/Users/TedCh/OneDrive/Desktop/test/100kPeople_422.mov to the file tree
14:47:50,FILE,Displaying C:/Users/TedCh/OneDrive/Desktop/test/100kPeople_422.mov C:/Users/TedCh/OneDrive/Desktop/test/100kPeople_422_HAP.mov to the file tree
14:47:57,FILE,Displaying C:/Users/TedCh/OneDrive/Desktop/test/TCBLogo_White.png C:/Users/TedCh/OneDrive/Desktop/test/test.png to the file tree
14:49:50,INIT,HAP-PY v0.0.1 started
14:49:53,FILE,Displaying C:/Users/TedCh/OneDrive/Desktop/test/TCBLogo_White.png to the file tree
14:49:58,FILE,Displaying C:/Users/TedCh/OneDrive/Desktop/test/100kPeople_422_HAP.mov C:/Users/TedCh/OneDrive/Desktop/test/test.png to the file tree
